Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
addPoints_7671b06d	e_nvl	[phrase]	game/functions.rpy	30	e_nvl "[what]"
addPoints_7671b06d_1	e_nvl	[phrase]	game/functions.rpy	44	e_nvl "[what]"
barOut_2c6665ca	syrielle_nvl	Salut frangine ! On se retrouve au \n {u}Bar chez Thon Thon \n rue du port{/u}	game/scene_bar.rpy	4	syrielle_nvl "[what]"
barOut_a41f760d	empty		game/scene_bar.rpy	7	empty "[what]"
barOut_a41f760d_1	empty		game/scene_bar.rpy	9	empty "[what]"
barOut_a41f760d_2	empty		game/scene_bar.rpy	13	empty "[what]"
barOut_1c128441	s	Ça fait longtemps, je suis heureuse de te revoir ! 	game/scene_bar.rpy	14	s "[what]"
barOut_a2879ef0	s	Aller, on se fait un Selfie et on l’envoie à Pierrot, il sera content de revoir ses sœurettes ! 	game/scene_bar.rpy	15	s "[what]"
barOut_d78f92b5	s	Mais attention ! pas de gaffes sur son anniversaire surprise ! 	game/scene_bar.rpy	16	s "[what]"
barOut_a351b8b1	a	OK, je prends mon téléphone.	game/scene_bar.rpy	17	a "[what]"
barOut_a41f760d_3	empty		game/scene_bar.rpy	21	empty "[what]"
browserLabel_a41f760d	empty		game/scene_browser.rpy	9	empty "[what]"
browserLabelAfterCall_09e9fca8	s	Alors Maman, qu’est-ce que je peux faire pour toi ?	game/scene_browser.rpy	19	s "[what]"
browserLabelAfterCall_9b75d25a	m	Un ami de ton frère m'a demandé de lui envoyer des photos sur Databook, je ne sais pas comment ça marche … 	game/scene_browser.rpy	20	m "[what]"
browserLabelAfterCall_aa4b5bcf	s	Mais tu n’as pas de compte Databook !? il va falloir t’en créer un.	game/scene_browser.rpy	21	s "[what]"
browserLabelAfterCall_58a2203e	m	Oh je préfère que tu le créé toi !Tiens voila mes papiers d’identité si tu en as besoin.	game/scene_browser.rpy	22	m "[what]"
browserLabelAfterCall_a41f760d	empty		game/scene_browser.rpy	25	empty "[what]"
browserLabelAfterCall_a41f760d_1	empty		game/scene_browser.rpy	30	empty "[what]"
browserLabelFeed_cb352045	s	Regarde l'événement	game/scene_browser.rpy	40	s "[what]"
insideEventPage_02acf619	s	Tu as vu ? Ils proposent de partager des photos	game/scene_browser.rpy	46	s "[what]"
insideEventPage_ade6796d	s	C'est incroyable	game/scene_browser.rpy	47	s "[what]"
insideEventPage_a41f760d	empty		game/scene_browser.rpy	49	empty "[what]"
bus_019206b4	a	oh là là, ça date ça...	game/scene_bus.rpy	4	a "[what]"
